asin,brand,revenue,is_shampoo,segment,confidence,product_type,evidence,title
B00EMGLQS8,Ketozolin,108096,Y,Irritated / Atopic,H,Shampoo,Hypoallergen und reizarm; sicher für empfindliche Haut; ohne Duftstoffe,Ketoz OLIN 2% Shampoo 120 ml
B083JJHLT4,KÉRASTASE,91508,Y,,H,Shampoo,Kräftigendes Shampoo bei Haarverlust durch Haarbruch,"Kérastase Genesis Bain Hydra-Fortifiant, Kräftigendes Shampoo bei Haarverlust du"
B01BPHAD1W,VICHY,76539,Y,Irritated / Atopic,H,Shampoo,Anti-Schuppen für trockene juckende Kopfhaut; beruhigend; empfindliche Kopfhaut getestet,"Vichy Anti-Schuppen Pflegeshampoo für trockenes Haar, 6 Wochen Anti-Rückfall-Wir"
B00WN2BY7G,VICHY,68925,Y,Irritated / Atopic,H,Shampoo,Beruhigend; Juckreiz und Irritationen mildernd; juckende Kopfhaut,"Vichy Dercos Anti-Schuppen Shampoo fettige Kopfhaut, 390ml : Beruhigendes Shampo"
B004SBLR4U,VICHY,68065,Y,Irritated / Atopic,M,Shampoo,Dermatologisch getestet; geeignet für empfindliche Kopfhaut,"VICHY Anti-Haarverlust Vital-Shampoo+ für sensible Kopfhaut, Stärkt die Veranker"
B08DFY5V5H,FANOLA,41174,Y,,H,Shampoo,No yellow Silber-Glanz-Shampoo Anti-Gelbstich,Fanola No Yellow Silver Shine Shampoo Anti Yellow 350ml
B004CJJO2A,KÉRASTASE,31783,Y,,H,Shampoo,Haarbad für mehr Volumen und Glanz; Bain Volume,"Kérastase Resistance Bain Volumifique Shampoo, 250 ml, Pack of 1"
B09LYWXD3Q,Redken,30875,Y,Irritated / Atopic,M,Shampoo,Beruhigung für gereizte Kopfhaut; pH-ausgleichend; juckende Kopfhaut,Redken Amino Mint Shampoo: Refreshing Hair Shampoo Against Oily Hair
B0BNNV8K2D,KÉRASTASE,30124,Y,Irritated / Atopic,H,Shampoo,Anti-Schuppen für trockene und empfindliche Kopfhaut; beruhigt,"Kérastase Symbiose, Feuchtigkeitsspendendes Anti-Schuppen Shampoo, Für trockene "
B00VTQXCAE,VICHY,28422,Y,Irritated / Atopic,H,Shampoo,Für trockene Kopfhaut; beruhigend; mildert Juckreiz und Irritationen,"Vichy Anti-Schuppen Pflegeshampoo für trockenes Haar, 6 Wochen Anti-Rückfall-Wir"
B0090Y79SS,Eucerin,27110,Y,Irritated / Atopic,H,Shampoo,Kopfhautberuhigendes Urea Shampoo; empfindliche trockene Kopfhaut,Eucerin DermoCapillaire Urea Kopfhautberuhigendes Shampoo 250 ml
B00B4RJP72,La Roche-Posay,26577,N,,H,Tagespflege Gesichtscreme,Mattierende Feuchtigkeitspflege für fettige Haut; Effaclar Mat,"La Roche Posay Mattifying Moisturiser for Oily, Blemished and Acne Prone Skin, S"
B003SCE7FQ,STIEPROX,25068,Y,Irritated / Atopic,M,Shampoo,Gegen Schuppen und starken Juckreiz; Panthenol pflegt Kopfhaut,"STIEPROXAL Shampoo - Fights Stubborn, Firm Dandruff and Strong Itching, 100 ml"
B00Z733O9E,La Roche-Posay,22430,N,,H,Sonnenschutz-Spray,Sonnenschutz-Spray mit unsichtbarem Finish; wasserfest,Roche Posay 200ml
