asin,brand,revenue,is_shampoo,segment,confidence,product_type,evidence,title,rule
B00WN2BY7G,VICHY,115717,Y,Irritated / Atopic,M,Shampoo,Shampoo Anti-Forfora DS; per capelli normali a grassi; anti-dandruff only,"Vichy Dercos, Shampoo Anti-Forfora DS, Per Capelli da Normali a Grassi, Azione R",loosen
B00IVIMVFK,La Roche-Posay,39824,Y,Irritated / Atopic,H,Shampoo,Shampoo Extra Delicato per cuoio capelluto sensibile; effetto lenitivo,"La Roche Posay Kerium Extra Gentle Shampoo for Sensitive Scalp, Calming and Soot",
B01HYOB0LC,KÉRASTASE,36863,Y,Irritated / Atopic,H,Shampoo,Shampoo Idra-Lenitivo Per Cuoio Capelluto Sensibile; lenisce le irritazioni; calma il prurito,"Kérastase Spécifique Dermo-Calm Hydra-Soothing Shampoo for Sensitive Scalp, Bain",
B08WJZXC4Y,Bionike,32500,Y,Irritated / Atopic,H,Shampoo (dermatologico),Shampoo Trattamento per Dermatite Seborroica; allevia prurito e irritazione,BioNike Triderm D.S. Seborrheic Dermatitis Treatment Shampoo for Seborrheic Derm,
B09LYWXD3Q,Redken,26648,Y,Irritated / Atopic,M,Shampoo (capelli grassi),Capelli Grassi e Cuoio Capelluto Irritato; menta piperita; purifica e rinfresca,"Redken | Shampoo, with Peppermint for Oily Hair and Irritated Scalp, Cleanses an",cross-market
B00D3HXR98,RestivOil,21718,Y,Irritated / Atopic,H,Olio-shampoo,cute sensibile soggetta ad irritazione; prurito; dermatite seborroica,RestivOil Complex Gentle Anti-Dandruff Shampoo Oil for Normal to Oily Hair with ,
B0DHS7KGWT,La Roche-Posay,18311,Y,Irritated / Atopic,H,Shampoo,riduce e lenisce il prurito; cuoio capelluto sensibile,La Roche-Posay Toleriane Kerium DS Intensive Anti-Dandruff Shampoo Reduces and S,
B009USALZM,VICHY,16101,Y,Irritated / Atopic,H,Shampoo,Shampoo Anti-Forfora Sensitive; cuoio capelluto sensibile; azione lenitiva; alleviando il prurito,"Vichy Dercos Sensitive Anti-Dandruff Shampoo for Sensitive Scalp, Soothing Actio",
B07R9WJ1PP,RestivOil,14846,Y,Irritated / Atopic,H,Shampoo (olio-shampoo),cuoio capelluto sensibile; lenitivo; ideale anche per i bambini,"RestivOil Extra Gentle Moisturizing Oil Shampoo for Normal to Delicate Hair, 400",
B01B4YXHOQ,RestivOil,12842,Y,Irritated / Atopic,H,Olio shampoo,Shampoo Anti Prurito e Irritazione; cute ultrasensibile; polidocanolo,RestivOil Zero Shampoo Anti Itching and Irritation for Hair Physiological Mild O,
B08GNZS4B1,Aveeno,12390,Y,Irritated / Atopic,H,Shampoo,Shampoo Lenitivo Per Prurito; cute secca e sensibile,Aveeno Shampoo 300ml,
B0851F6C4Z,TIS farmaceutic,9950,Y,Irritated / Atopic,H,Shampoo,Dermatite Seborroica; Psoriasi; Pelle Pruriginosa; adatta al cuoio capelluto sensibile,"PsoriTIS Urea 10% Shampoo - Seborrheic Dermatitis, Scalp Prone to Psoriasis, Dan",
