asin,brand,revenue,is_shampoo,segment,confidence,product_type,evidence,title
B0DQV8G9HR,Nizoral,242102,Y,Irritated / Atopic,H,shampoo,Anti-Dandruff Treatment; relieves itching; removes flakes; soothes inflammation; itchy flaky scalp,"Nizoral Anti-Dandruff Treatment Shampoo, Treats and Prevents Dandruff, Clinicall"
B001ETUD5I,Nizoral,150375,Y,Irritated / Atopic,H,shampoo,Anti-Dandruff Treatment Shampoo; controls itchy & flaky scalps; relieves itching; soothing inflammation,"Nizoral Anti-Dandruff Treatment Shampoo, Treats and Prevents Dandruff, Clinicall"
B07NPW27GG,Polytar,125993,Y,Irritated / Atopic,H,shampoo,Treats Psoriasis; Seborrhoeic Dermatitis; Eczema and Dandruff; Coal Tar Solution; soothe irritation,"Polytar Scalp Shampoo, For Scalp Conditions, Reduces Itching, Inflammation and S"
B0DSGCJSZF,Neutrogena,104975,Y,Irritated / Atopic,H,shampoo,T/Gel Scalp Relief Anti-Dandruff; prone to scalp psoriasis and seborrhoeic dermatitis; dry; itchy flaky scalp,Neutrogena T/Gel Scalp Relief Anti-Dandruff Shampoo (250ml) With 3% Salicylic Ac
B09LYWXD3Q,Redken,86344,Y,Irritated / Atopic,M,shampoo,relieves the symptoms of an irritated scalp; for oily roots and sensitive scalp; soothe the scalp,"Redken Amino Mint Scalp Relief Shampoo For Oily Scalps, Purifying Cleanser Formu"
B0BQTMHNW9,Aveeno,79043,Y,Irritated / Atopic,H,shampoo,clinically proven to relieve itchy; dry scalps and reduce flakes; suitable for sensitive and dry scalp,"Aveeno Scalp Soothing Haircare Clarify & Shine Shampoo, Apple Cider Vinegar Blen"
B00WN2BY7G,VICHY,67672,Y,Irritated / Atopic,H,shampoo,Anti-Dandruff Purifying Shampoo; soothes itching; hypoallergenic formula suitable for sensitive scalps,"Vichy Dercos Technique Anti-Dandruff Purifying Shampoo, With 1% Salicylic Acid &"
B0FGGTST5H,PHARMBANNER,66029,Y,Irritated / Atopic,H,shampoo,Folliculitis & Seborrheic Dermatitis Shampoo; Anti-Dandruff; soothes redness; flaking & irritation; sensitive scalps,"Folliculitis & Seborrheic Dermatitis Shampoo – Anti-Dandruff, Psoriasis & Itchy "
B001RYUCQU,E45,49943,Y,Irritated / Atopic,H,shampoo,Dry Scalp Shampoo for Very Dry; Itchy and Flaky Scalp - Anti Dandruff; hypoallergenic; treatment for eczema; psoriasis,"E45 Dry Scalp Shampoo for Very Dry, Itchy and Flaky Scalp - Anti Dandruff Shampo"
B0DW3XJTVJ,Neutrogena,41180,Y,Irritated / Atopic,H,shampoo,T/Gel Scalp Relief Anti-Dandruff; suitable for those prone to scalp psoriasis and seborrhoeic dermatitis; dry; itchy flaky scalp,Neutrogena T/Gel Scalp Relief Anti-Dandruff Shampoo (150ml) With 3% Salicylic Ac
B0BRCXJHNM,Head & Shoulders,40921,Y,Irritated / Atopic,H,shampoo,DermaXPro Soothing Comfort Anti Dandruff Shampoo; Soothes Dry; Itchy Scalp and Helps Reinforce the Skin Barrier,Head & Shoulders DermaXPro Soothing Comfort Anti Dandruff Shampoo 500ml with Alo
B00MXZJ362,OGX,40663,Y,,H,shampoo,Biotin and Collagen Volumising Shampoo; Thick and Full; for Fine Hair,"OGX Biotin and Collagen Volumising Hair Shampoo, Thick and Full, with Vitamin B7"
B0BQTDD9RF,Aveeno,35918,Y,Irritated / Atopic,H,shampoo,soothes dry; itchy & flaky scalp; suitable for sensitive and dry scalps,"Aveeno Scalp Soothing Haircare Daily Moisture Shampoo, Oat Milk Blend, for Dry H"
B08NPPK4CX,Sea Magik,32426,Y,Irritated / Atopic,H,shampoo,Salicylic Acid Shampoo for Psoriasis & Itchy Scalp Relief; soothes dry; itchy or psoriasis/eczema-prone scalp,"Sea Magik - Salicylic Acid Shampoo for Psoriasis & Itchy Scalp Relief, Soothing "
B00VTQXCAE,,32036,Y,Irritated / Atopic,H,shampoo,Anti-Dandruff Shampoo for Dry Hair & Sensitive Scalp; Soothes Itchiness,Vichy Dercos Anti-Dandruff Dermatological Shampoo for Dry Hair & Sensitive Scalp
B0BNNV8K2D,KÉRASTASE,31877,Y,Irritated / Atopic,H,shampoo,Moisturising Anti-Dandruff Cellular Shampoo; For Dry; Sensitive Scalps Prone To Dandruff,"Kérastase Symbiose, Moisturising Anti-Dandruff Cellular Shampoo, For Dry, Sensit"
B0DLKXPB3X,The Body Shop,31392,Y,Irritated / Atopic,H,shampoo,clarifying formula that helps clear flakes and soothe dry; itchiness; suitable for sensitive scalps,"The Body Shop Ginger Anti-Dandruff Shampoo (1x 250ml), Clarifying Shampoo for Dr"
B07N1FF7CS,Neutrogena,30285,Y,Irritated / Atopic,H,shampoo,T/Gel Anti-Dandruff Shampoo; helps clear dandruff and relieve itching on the scalp,"Neutrogena T/Gel 2 in 1 Anti-Dandruff Shampoo and Conditioner (1x 250ml), Shampo"
B07N1DQ9QW,Neutrogena,30198,Y,Irritated / Atopic,H,shampoo,anti-dandruff with salicylic acid; relieve flaking on the scalp; without stripping natural oils,"Neutrogena T/Gel Anti Dandruff Shampoo for Oily Scalp and Hair (1x 250ml), Daily"
B0BSB5BX54,MooGoo,29466,N,,H,shampoo & conditioner set,Natural Milk Shampoo & Cream Conditioner Pack (mixed set; not pure shampoo),"MooGoo Natural Milk Shampoo & Cream Conditioner Pack - For Itchy, Dry, Sensitive"
B0GL2T9QSZ,Recuren Plus,26986,Y,Irritated / Atopic,H,shampoo,Psoriasis & Folliculitis Scalp Treatment Shampoo; Seborrheic Dermatitis Formula; Anti-Dandruff; itchy and dry scalp; Salicylic Acid,"Psoriasis & Folliculitis Scalp Treatment Shampoo: Seborrheic Dermatitis Formula,"
B0DLWMRY1D,OGX,26732,Y,,H,shampoo,Refreshing Scalp with Rosemary Mint Shampoo; Clarifying Blend to Remove Excess Oil and Residue,"OGX Refreshing Scalp with Rosemary Mint Shampoo, Clarifying Blend to Remove Exce"
